element_id,part_num,color_id,design_id
4513024,57519,0,
6513926,5414,2,5414
4189116,2462,0,2462
4111942,78c06,0,71944
4125488,71308pr0001,15,71308
4124329,78c04,1,
4114744,78c09,0,71917
3004726,30047,0,
6170505,98282,0,28579
6514327,52979,41,52979
244126,2441,0,2441
6449985,51274,27,51274
6590023,973c03h03pr0100,0,76382
4186714,45138c01,25,45138
6581077,10115310,9999,115310
4513993,4589,25,4589
6416838,3170,0,3170
6307571,92456c01pr0361,92,
6484053,108329,9999,108329
395976,3959,0,
73112,73112,7,
4119409,72835,15,
6099429,93217,0,93217
4161403,2488,0,2488
4107182,30035,0,30035
6501152,970c12pat03,72,21019
4162982,3069bpr0070,0,42125
4297719,56823c50,0,56823
6515226,5904,2,
4119375,72562,15,
6017991,3626cpr1084,0,11832
4502834,53992,0,53992
253826,2538b,0,2538
458927,4589,8,
4185068,30633,143,
4190948,51595pr0003,2,
4504612,57539,0,57539
4116685,30261pr0008,15,
71151,71151,383,
6550815,5904,25,5904
4205047,3003,73,
4100348,72534pr0005,15,
6485964,2403,15,
6507710,3070bpr0324,19,109773
6545530,3001pr9981,0,
6517968,973c25h01pr0005,378,76382
6508740,23187,15,23187
4615583,85863pr0072,85,
4193715,6669c01,383,
4140079,32349,25,
6105872,973c26h01pr0003,19,
6070071,973c31h31pr1660,2,
4171164,30603pr0012,14,
4193493,30633,40,
6198996,99248pr9999,28,
4156347,75729pr0002,1,
4140084,32349,1067,
4188020,3069bpr0088,15,
4161213,41749,36,
4193492,30633,40,
6019684,16925c01pr0003,272,92821
4161192,3626bpr0076,15,
4194229,30361cpr0005,379,
4290400,2300pr0005,19,
6157494,99242pr0001,118,
6004977,3626bpr0222,14,
4495017,5334c02pr0001,135,
6509958,109855,19,109855
6156699,19478,14,19478
4523640,78c12,0,42692
4290076,3011,484,3011
4513081,3011,0,
4631562,970c07,308,88584
6486001,49556pr0003,272,108551
6070190,17317pr0001,0,17317
6032362,13565,15,13565
6054856,15619,0,15619
4128501,51pr0001,80,22564
4499434,57796,0,57796
6510720,6649pr0001,71,110014
4615579,85863pr0068,4,
6611550,66857,1050,66857
6473940,3277,70,3277
6155736,973c22h03pr3454,0,88585
6055632,15265,0,15265
4632330,95327pr0001,0,96642
4140737,3834,0,3834
4612398,970e05,0,93798
6511449,10202pr0021,70,
73696,73696,7,
73697,73697,7,
402526,4025,0,4025
4129892,33229pr0002,18,
4496364,52035,4,
395923,3959,1,
6036787,13355,0,13355
395973,3959,1,
